dataset,service,fault_type,case_id,n_nodes,n_edges,edge_density,elapsed_sec,top1_node,top3_nodes,ground_truth_service,ground_truth_metric,Top-1 Acc,Top-3 Acc,Top-5 Acc,Svc-AC@1,Svc-AC@3,Svc-AC@5,Mtr-AC@1,Mtr-AC@3,Mtr-AC@5,Svc_Rank,Mtr_Rank
RE1-OB,cartservice,delay,3,45,1791,0.9045,22.18,cartservice_cpu,cartservice_cpu|frontend_cpu|redis_cpu,cartservice,latency,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,26
RE1-OB,cartservice,delay,4,46,1884,0.9101,30.7,adservice_cpu,adservice_cpu|emailservice_cpu|main_cpu,cartservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,30
RE1-OB,cartservice,delay,5,45,1801,0.9096,32.19,frontend-external_error,frontend-external_error|adservice_cpu|checkoutservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,30
RE1-OB,cartservice,disk,1,45,1767,0.8924,27.55,recommendationservice_cpu,recommendationservice_cpu|emailservice_mem|emailservice_cpu,cartservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,46
RE1-OB,cartservice,disk,2,45,1784,0.901,25.47,adservice_cpu,adservice_cpu|checkoutservice_cpu|emailservice_cpu,cartservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,46
RE1-OB,cartservice,disk,3,46,1864,0.9005,27.64,currencyservice_cpu,currencyservice_cpu|emailservice_cpu|cartservice_mem,cartservice,diskio,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,47
RE1-OB,cartservice,disk,4,45,1779,0.8985,23.09,checkoutservice_cpu,checkoutservice_cpu|currencyservice_cpu|paymentservice_cpu,cartservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,46
RE1-OB,cartservice,disk,5,45,1788,0.903,22.51,cartservice_cpu,cartservice_cpu|main_cpu|productcatalogservice_cpu,cartservice,diskio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,46
RE1-OB,cartservice,loss,1,45,1794,0.9061,23.36,redis_cpu,redis_cpu|frontend_cpu|recommendationservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,31
RE1-OB,cartservice,loss,2,46,1955,0.9444,23.12,productcatalogservice_latency,productcatalogservice_latency|cartservice_cpu|checkoutservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,40
RE1-OB,cartservice,loss,3,45,1855,0.9369,21.58,productcatalogservice_latency,productcatalogservice_latency|adservice_cpu|cartservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,40
RE1-OB,cartservice,loss,4,45,1841,0.9298,23.97,checkoutservice_cpu,checkoutservice_cpu|currencyservice_cpu|paymentservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,34
RE1-OB,cartservice,loss,5,46,1940,0.9372,27.71,productcatalogservice_latency,productcatalogservice_latency|checkoutservice_cpu|currencyservice_cpu,cartservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,36
RE1-OB,cartservice,mem,1,46,1865,0.901,31.57,adservice_cpu,adservice_cpu|emailservice_cpu|paymentservice_cpu,cartservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,18
RE1-OB,cartservice,mem,2,46,1873,0.9048,32.45,adservice_cpu,adservice_cpu|cartservice_cpu|currencyservice_cpu,cartservice,mem,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,16
RE1-OB,cartservice,mem,3,45,1778,0.898,34.02,shippingservice_mem,shippingservice_mem|shippingservice_cpu|adservice_cpu,cartservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,18
RE1-OB,cartservice,mem,4,47,1951,0.9024,41.29,currencyservice_cpu,currencyservice_cpu|recommendationservice_cpu|checkoutservice_cpu,cartservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,25
RE1-OB,cartservice,mem,5,46,1897,0.9164,31.45,paymentservice_cpu,paymentservice_cpu|productcatalogservice_cpu|productcatalogservice_mem,cartservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,21
RE1-OB,checkoutservice,cpu,1,45,1805,0.9116,55.21,emailservice_latency,emailservice_latency|emailservice_cpu|frontend_cpu,checkoutservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11
RE1-OB,checkoutservice,cpu,2,46,1871,0.9039,36.54,cartservice_cpu,cartservice_cpu|frontend_cpu|main_cpu,checkoutservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9
RE1-OB,checkoutservice,cpu,3,46,1867,0.9019,35.68,emailservice_latency,emailservice_latency|currencyservice_cpu|frontend_cpu,checkoutservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,22
RE1-OB,checkoutservice,cpu,4,46,1874,0.9053,37.22,frontend_cpu,frontend_cpu|adservice_cpu|cartservice_cpu,checkoutservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9
RE1-OB,checkoutservice,cpu,5,45,1786,0.902,36.03,cartservice_cpu,cartservice_cpu|checkoutservice_cpu|frontend_cpu,checkoutservice,cpu,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,2
RE1-OB,checkoutservice,delay,1,45,1802,0.9101,26.45,paymentservice_cpu,paymentservice_cpu|recommendationservice_cpu|redis_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,19
RE1-OB,checkoutservice,delay,2,46,1891,0.9135,27.06,currencyservice_cpu,currencyservice_cpu|frontend_cpu|shippingservice_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,20
RE1-OB,checkoutservice,delay,3,46,1882,0.9092,27.26,currencyservice_cpu,currencyservice_cpu|emailservice_cpu|productcatalogservice_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,24
RE1-OB,checkoutservice,delay,4,46,1871,0.9039,28.28,adservice_cpu,adservice_cpu|emailservice_cpu|productcatalogservice_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11
RE1-OB,checkoutservice,delay,5,46,1891,0.9135,24.59,cartservice_cpu,cartservice_cpu|emailservice_cpu|recommendationservice_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,22
RE1-OB,checkoutservice,disk,1,45,1773,0.8955,22.1,currencyservice_cpu,currencyservice_cpu|emailservice_cpu|frontend_cpu,checkoutservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,46
RE1-OB,checkoutservice,disk,2,46,1900,0.9179,23.21,currencyservice_cpu,currencyservice_cpu|main_cpu|paymentservice_cpu,checkoutservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,47
RE1-OB,checkoutservice,disk,3,45,1784,0.901,25.47,adservice_cpu,adservice_cpu|cartservice_cpu|main_cpu,checkoutservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,46
RE1-OB,checkoutservice,disk,4,45,1776,0.897,25.61,main_cpu,main_cpu|productcatalogservice_cpu|adservice_cpu,checkoutservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,46
RE1-OB,checkoutservice,disk,5,45,1770,0.8939,21.77,frontend_cpu,frontend_cpu|adservice_cpu|cartservice_cpu,checkoutservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,46
RE1-OB,checkoutservice,loss,1,46,1936,0.9353,23.11,cartservice_cpu,cartservice_cpu|paymentservice_cpu|recommendationservice_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15
RE1-OB,checkoutservice,loss,2,46,1940,0.9372,29.15,cartservice_cpu,cartservice_cpu|currencyservice_cpu|productcatalogservice_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,17
RE1-OB,checkoutservice,loss,3,47,2022,0.9352,29.33,productcatalogservice_cpu,productcatalogservice_cpu|emailservice_mem|checkoutservice_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,36
RE1-OB,checkoutservice,loss,4,45,1847,0.9328,27.46,cartservice_cpu,cartservice_cpu|paymentservice_cpu|paymentservice_mem,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,26
RE1-OB,checkoutservice,loss,5,46,1936,0.9353,24.13,currencyservice_cpu,currencyservice_cpu|emailservice_cpu|main_cpu,checkoutservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,25
RE1-OB,checkoutservice,mem,1,46,1873,0.9048,30.81,productcatalogservice_cpu,productcatalogservice_cpu|paymentservice_cpu|paymentservice_mem,checkoutservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,25
RE1-OB,checkoutservice,mem,2,46,1854,0.8957,35.66,emailservice_cpu,emailservice_cpu|shippingservice_cpu|main_cpu,checkoutservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8
RE1-OB,checkoutservice,mem,3,47,1936,0.8955,34.02,productcatalogservice_mem,productcatalogservice_mem|paymentservice_cpu|recommendationservice_cpu,checkoutservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,22
RE1-OB,checkoutservice,mem,4,46,1873,0.9048,29.58,currencyservice_cpu,currencyservice_cpu|redis_cpu|shippingservice_cpu,checkoutservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12
RE1-OB,checkoutservice,mem,5,45,1762,0.8899,31.09,cartservice_cpu,cartservice_cpu|currencyservice_cpu|recommendationservice_cpu,checkoutservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,31
RE1-OB,currencyservice,cpu,1,46,1858,0.8976,33.96,cartservice_cpu,cartservice_cpu|productcatalogservice_cpu|frontend_error,currencyservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,19
RE1-OB,currencyservice,cpu,2,45,1780,0.899,33.61,adservice_cpu,adservice_cpu|frontend_cpu|redis_cpu,currencyservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12
RE1-OB,currencyservice,cpu,3,47,1961,0.907,35.72,checkoutservice_cpu,checkoutservice_cpu|emailservice_cpu|frontend_cpu,currencyservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,16
RE1-OB,currencyservice,cpu,4,45,1780,0.899,33.51,main_mem,main_mem|recommendationservice_cpu|redis_cpu,currencyservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9
RE1-OB,currencyservice,cpu,5,46,1860,0.8986,41.1,checkoutservice_cpu,checkoutservice_cpu|main_cpu|paymentservice_cpu,currencyservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14
RE1-OB,currencyservice,delay,1,45,1811,0.9146,26.39,checkoutservice_cpu,checkoutservice_cpu|productcatalogservice_cpu|recommendationservice_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,26
RE1-OB,currencyservice,delay,2,46,1888,0.9121,25.23,checkoutservice_cpu,checkoutservice_cpu|frontend_cpu|currencyservice_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,33
RE1-OB,currencyservice,delay,3,45,1805,0.9116,27.57,cartservice_cpu,cartservice_cpu|main_cpu|redis_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,31
RE1-OB,currencyservice,delay,4,46,1895,0.9155,26.69,currencyservice_cpu,currencyservice_cpu|productcatalogservice_cpu|redis_cpu,currencyservice,latency,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,32
RE1-OB,currencyservice,delay,5,46,1895,0.9155,27.76,currencyservice_cpu,currencyservice_cpu|emailservice_cpu|main_cpu,currencyservice,latency,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,27
RE1-OB,currencyservice,disk,1,46,1854,0.8957,26.75,frontend_cpu,frontend_cpu|paymentservice_cpu|recommendationservice_cpu,currencyservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,47
RE1-OB,currencyservice,disk,2,45,1806,0.9121,23.87,currencyservice_cpu,currencyservice_cpu|paymentservice_cpu|recommendationservice_cpu,currencyservice,diskio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,46
RE1-OB,currencyservice,disk,3,45,1816,0.9172,25.41,emailservice_cpu,emailservice_cpu|main_cpu|productcatalogservice_cpu,currencyservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,46
RE1-OB,currencyservice,disk,4,45,1793,0.9056,24.86,emailservice_cpu,emailservice_cpu|productcatalogservice_cpu|recommendationservice_cpu,currencyservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,46
RE1-OB,currencyservice,disk,5,45,1810,0.9141,23.84,frontend_cpu,frontend_cpu|productcatalogservice_cpu|redis_cpu,currencyservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,46
RE1-OB,currencyservice,loss,1,46,1904,0.9198,26.3,adservice_cpu,adservice_cpu|currencyservice_cpu|paymentservice_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,32
RE1-OB,currencyservice,loss,2,46,1953,0.9435,26.13,frontend-external_error,frontend-external_error|checkoutservice_cpu|frontend_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,34
RE1-OB,currencyservice,loss,3,46,1961,0.9473,28.59,adservice_cpu,adservice_cpu|emailservice_cpu|frontend_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,33
RE1-OB,currencyservice,loss,4,45,1856,0.9374,24.5,adservice_cpu,adservice_cpu|currencyservice_cpu|frontend_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,29
RE1-OB,currencyservice,loss,5,46,1943,0.9386,27.14,frontend_cpu,frontend_cpu|paymentservice_cpu|recommendationservice_cpu,currencyservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,30
RE1-OB,currencyservice,mem,1,45,1770,0.8939,31.48,frontend_cpu,frontend_cpu|paymentservice_cpu|productcatalogservice_cpu,currencyservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,17
RE1-OB,currencyservice,mem,2,46,1867,0.9019,31.69,emailservice_cpu,emailservice_cpu|frontend_cpu|main_cpu,currencyservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,25
RE1-OB,currencyservice,mem,3,46,1838,0.8879,31.89,recommendationservice_cpu,recommendationservice_cpu|redis_mem|emailservice_cpu,currencyservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,29
RE1-OB,currencyservice,mem,4,45,1789,0.9035,30.03,adservice_cpu,adservice_cpu|cartservice_cpu|recommendationservice_cpu,currencyservice,mem,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,5
RE1-OB,currencyservice,mem,5,47,1955,0.9043,32.53,cartservice_cpu,cartservice_cpu|checkoutservice_mem|cartservice_mem,currencyservice,mem,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20
RE1-OB,productcatalogservice,cpu,1,47,1951,0.9024,25.55,frontend_error,frontend_error|cartservice_cpu|emailservice_cpu,productcatalogservice,cpu,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4,4
RE1-OB,productcatalogservice,cpu,2,46,1895,0.9155,26.64,frontend-external_error,frontend-external_error|adservice_cpu|checkoutservice_cpu,productcatalogservice,cpu,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5,5
RE1-OB,productcatalogservice,cpu,3,34,1055,0.9403,17.18,adservice_cpu,adservice_cpu|frontend_cpu|main_cpu,productcatalogservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,24
RE1-OB,productcatalogservice,cpu,4,47,1931,0.8932,38.77,shippingservice_mem,shippingservice_mem|emailservice_cpu|checkoutservice_mem,productcatalogservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,26
RE1-OB,productcatalogservice,cpu,5,46,1857,0.8971,31.69,emailservice_latency,emailservice_latency|frontend-external_error|frontend_cpu,productcatalogservice,cpu,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,20
RE1-OB,productcatalogservice,delay,1,44,1704,0.9006,27.26,checkoutservice_cpu,checkoutservice_cpu|emailservice_cpu|recommendationservice_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4,31
RE1-OB,productcatalogservice,delay,2,46,1891,0.9135,28.69,frontend_cpu,frontend_cpu|main_cpu|shippingservice_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14
RE1-OB,productcatalogservice,delay,3,46,1891,0.9135,29.71,emailservice_cpu,emailservice_cpu|paymentservice_cpu|recommendationservice_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,34
RE1-OB,productcatalogservice,delay,4,45,1807,0.9126,29.62,emailservice_cpu,emailservice_cpu|recommendationservice_cpu|redis_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,33
RE1-OB,productcatalogservice,delay,5,44,1737,0.9181,29.38,currencyservice_cpu,currencyservice_cpu|main_cpu|productcatalogservice_cpu,productcatalogservice,latency,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,23
RE1-OB,productcatalogservice,disk,1,45,1792,0.9051,24.48,adservice_cpu,adservice_cpu|emailservice_cpu|main_cpu,productcatalogservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,46
RE1-OB,productcatalogservice,disk,2,45,1792,0.9051,25.94,currencyservice_cpu,currencyservice_cpu|paymentservice_cpu|shippingservice_cpu,productcatalogservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,46
RE1-OB,productcatalogservice,disk,3,45,1780,0.899,25.22,currencyservice_cpu,currencyservice_cpu|emailservice_cpu|cartservice_mem,productcatalogservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,46
RE1-OB,productcatalogservice,disk,4,46,1877,0.9068,25.76,emailservice_cpu,emailservice_cpu|main_cpu|recommendationservice_mem,productcatalogservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,47
RE1-OB,productcatalogservice,disk,5,45,1783,0.9005,25.98,adservice_cpu,adservice_cpu|checkoutservice_cpu|currencyservice_cpu,productcatalogservice,diskio,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,46
